lat,lon,name,region
25.1279674,121.7591096,CPC, Xinyi District
25.14302099999999,121.7653751,CPC, Zhongzheng District
25.1279982,121.7811681,National Petroleum Corporation, Xinyi District
25.1360945,121.7329783,CPC Xiding Petrol Station, Zhongshan District
25.1515211,121.7674756,CPC, Zhongzheng District
25.128633,121.779293,CPC, Xinyi District
25.1544296,121.766502,CPC, Zhongzheng District
25.144596,121.794799,CPC, Taiwan
25.1353102,121.7219609,Formosa Oil, Anle District
25.110374,121.794733,CPC, Ruifang District
25.126503,121.7189955,CPC, Anle District
25.1029271,121.7854341,CPC, Ruifang District
25.1336952,121.7452168,Formosa Oil, Zhongzheng District
25.1037396,121.7259846,Taiwanzhongyoubadujiayoujiaqi Station, Nuannuan District
25.1269831,121.7378569,CPC, Ren’ai District
25.146607,121.7259712,North-star Petroleum, Zhongshan District
25.144775,121.722297,North-star Petroleum, Zhongshan District
25.1430271,121.7653501,Cpczizhujiayouquxiangfeng Station, Zhongzheng District
25.128631,121.7793187,聯展加油站實業有限公司, Xinyi District
25.1472725,121.74239,基隆港區油庫, Taiwan
25.1525606,121.7362327,Taiwanzhongyoujiamengzhantaizhuangjilongjiayou Station, Zhongshan District
25.117609,121.7258679,CPC, Anle District
25.1401453,121.8014747,Jilongquyuhuizhangtanliyugangyuchuanzhuanyongjiayou Station, Zhongzheng District
25.0983676,121.7487054,CPC, Nuannuan District
25.1307901,121.7191837,National Petroleum Corporation, Anle District
