index,Unnamed: 0,統一編號,公司名稱,公司地址,資本額總額,核准設立日期,最後核准變更日期,公司狀態,代表人/創辦人/員工,產業別,資本額(標準化),成立順序,lat,lon,lat_lon,配發公司,配發公司地址,接近險勿設施(加油站),公共安全責任險,火災保險,推薦保險_1,推薦保險_2,recommand,接近險勿設施(倉庫)
92,92,60381448,隆本行,基隆市仁愛區誠仁里南榮路１４７號１樓,500000,1989-05-29,2008-06-10,核准設立 - 獨資,,五金零售業,-0.7190000000000001,4,25.124570000000002,121.74294599999999,"(25.124570000000002, 121.74294599999999)",11,基隆通訊處,False,False,False,None,None,None,False
64,64,53807742,惠比壽國際企業有限公司,基隆市仁愛區仁德里愛三路36號1樓,1000000,2012-03-01,2017-08-02,核准設立,,布疋、衣著、鞋、帽、傘、服飾品批發業,-0.415,9,25.127793,121.74231599999999,"(25.127793, 121.74231599999999)",11,基隆通訊處,False,False,True,火災保險,None,火災保險,False
79,79,80872267,昱成室內裝修工程行,基隆市仁愛區愛三路8號1樓,230000,2003-05-21,2018-10-18,核准設立 - 獨資 (核准文號: 1070002129),,室內裝潢業,-0.523,5,25.127297,121.74193899999999,"(25.127297, 121.74193899999999)",11,基隆通訊處,False,False,False,None,None,None,False
126,128,25095658,妮歐麗膚有限公司,基隆市仁愛區愛三路120號3樓,250000,2009-12-24,2016-04-26,核准設立,,食品什貨批發業,-0.5720000000000001,5,25.129667,121.74356100000001,"(25.129667, 121.74356100000001)",11,基隆通訊處,False,False,False,None,None,None,False
45,45,10509096,禾強企業行,基隆市信義區仁壽里信一路一三三號七樓,200000,2007-12-26,2007-12-26,核准設立 - 獨資,,五金批發業,-0.652,9,25.129285,121.74736999999999,"(25.129285, 121.74736999999999)",11,基隆通訊處,False,False,False,None,None,None,False
52,52,50586386,達鋅商行,基隆市信義區義四路7號1樓,200000,2017-03-15,2019-11-26,核准設立 - 獨資 (核准文號: 1080002528),,五金批發業,-0.652,16,25.129281,121.74778899999998,"(25.129281, 121.74778899999998)",11,基隆通訊處,False,False,False,None,None,None,False
59,59,27797249,豐喬國際有限公司,基隆市信義區仁壽里義三路4巷24號1樓,1000000,2005-05-24,2016-05-03,核准設立,,布疋、衣著、鞋、帽、傘、服飾品批發業,-0.415,4,25.12943,121.747602,"(25.12943, 121.747602)",11,基隆通訊處,False,False,True,火災保險,None,火災保險,False
75,75,84395082,華邦工程顧問有限公司,基隆市信義區信一路133之2號4樓,6000000,1993-06-10,2016-09-05,核准設立,,室內裝潢業,3.362,1,25.129351999999997,121.747254,"(25.129351999999997, 121.747254)",11,基隆通訊處,False,False,False,None,None,None,False
38,38,146074,青山有限公司,基隆市信義區義四路14號,5000000,1971-12-01,2017-12-15,核准設立,,五金批發業,2.25,2,25.129777999999998,121.748263,"(25.129777999999998, 121.748263)",11,基隆通訊處,False,False,False,None,None,None,False
4,4,80464760,基嘉水電工程有限公司,基隆市仁愛區和明里仁一路二九三巷三之十六號四樓,6000000,2003-08-18,,核准設立,廖雅玲,配管工程業,1.494,5,25.128526,121.74649,"(25.128526, 121.74649)",11,基隆通訊處,False,True,False,None,公共安全責任險,公共安全責任險，,False
